# Units are Msun
# M_init	sr84	sr85	sr86	sr87	sr88	sr89	sr90	sr91
8	0	0	0	0	0	0	0	0
13	3.69e-9	9.22e-11	6.93e-8	4.27e-8	4.97e-7	1.34e-9	3.83e-10	2.67e-12
15	3.89e-9	9.31e-11	9.53e-8	6.05e-8	6.32e-7	3.40e-9	1.41e-9		6.94e-13
20	6.26e-9	2.18e-10	1.70e-7	1.10e-7	1.04e-6	1.36e-8	3.71e-9		2.03e-12
25	7.45e-9	2.82e-10	3.06e-7	2.00e-7	1.73e-6	1.18e-8	6.14e-9		3.73e-12
30	8.36e-9	4.02e-10	5.18e-7	3.39e-7	2.70e-6	9.19e-9	7.32e-9		7.56e-12
40	1.38e-8	7.12e-10	7.55e-7	5.56e-7	4.54e-6	1.69e-7	3.63e-8		3.06e-10
60	1.86e-8	7.35e-10	9.06e-7	6.96e-7	6.44e-6	2.99e-7	7.61e-8		4.89e-10
80	2.63e-8	1.01e-9		1.61e-6	1.16e-6	1.02e-5	4.41e-7	1.29e-7		8.18e-10
120	4.71e-8	1.64e-9		2.89e-6	1.90e-6	1.56e-5	4.65e-7	1.61e-7		5.50e-10



