#   col   Z       t [s]     A   elem     13Msun   15Msun    20Msun      25 Msun   30Msun      35 Msun
    1    0e+00   0.0e+00    0  ejec   1.18e+01   1.35e+01   1.83e+01   2.34e+01   2.79e+01   3.30e+01
    2    0e+00   0.0e+00    0  remn   1.21e+00   1.47e+00   1.67e+00   1.60e+00   2.07e+00   2.03e+00
    3    0e+00   0.0e+00   56  Ni     9.13e-02   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
    4    0e+00   0.0e+00    1  H      6.86e+00   7.77e+00   9.74e+00   1.16e+01   1.32e+01   1.47e+01
    5    0e+00   0.0e+00    2  H      6.55e-17   5.95e-17   6.34e-17   1.77e-16   9.76e-16   3.05e-16
    6    0e+00   0.0e+00    3  He     3.07e-05   3.01e-05   2.90e-05   2.77e-05   2.72e-05   2.71e-05
    7    0e+00   0.0e+00    4  He     4.05e+00   4.65e+00   6.26e+00   7.78e+00   9.33e+00   1.07e+01
    8    0e+00   0.0e+00    6  Li     5.22e-19   1.16e-18   3.20e-18   1.88e-16   6.86e-16   1.73e-16
    9    0e+00   0.0e+00    7  Li     4.15e-11   1.19e-10   2.16e-10   2.40e-10   2.60e-10   2.42e-10
   10    0e+00   0.0e+00    9  Be     1.15e-59   1.33e-59   1.80e-59   4.11e-30   5.25e-29   2.89e-30
   11    0e+00   0.0e+00   10  B      4.65e-18   1.06e-17   6.22e-17   2.16e-15   6.79e-15   1.59e-14
   12    0e+00   0.0e+00   11  B      9.11e-16   1.55e-15   3.01e-15   3.85e-13   1.29e-12   2.02e-12
   13    0e+00   0.0e+00   12  C      7.87e-02   1.39e-01   3.35e-01   4.01e-01   7.16e-01   7.48e-01
   14    0e+00   0.0e+00   13  C      3.66e-09   5.10e-10   2.31e-08   8.30e-03   9.15e-03   1.55e-04
   15    0e+00   0.0e+00   14  N      3.71e-08   2.95e-07   2.05e-06   5.26e-02   6.95e-02   1.17e-04
   16    0e+00   0.0e+00   15  N      1.10e-09   9.77e-10   3.24e-09   4.32e-06   4.51e-06   1.29e-07
   17    0e+00   0.0e+00   16  O      1.60e-01   3.46e-01   1.00e+00   2.03e+00   3.04e+00   4.39e+00
   18    0e+00   0.0e+00   17  O      4.35e-09   2.14e-08   1.70e-07   1.58e-04   1.99e-04   5.07e-05
   19    0e+00   0.0e+00   18  O      6.83e-09   8.80e-09   2.52e-08   7.55e-05   8.47e-05   2.24e-06
   20    0e+00   0.0e+00   19  F      4.64e-11   7.00e-11   2.47e-10   4.14e-07   7.62e-07   1.90e-07
   21    0e+00   0.0e+00   20  Ne     3.08e-02   1.15e-01   2.22e-01   6.73e-01   3.43e-01   1.08e+00
   22    0e+00   0.0e+00   21  Ne     1.19e-06   3.31e-06   1.46e-05   6.30e-05   4.70e-05   4.69e-05
   23    0e+00   0.0e+00   22  Ne     2.97e-07   1.46e-06   6.28e-06   6.15e-05   8.76e-05   3.74e-05
   24    0e+00   0.0e+00   23  Na     1.51e-04   5.79e-04   1.32e-03   4.00e-03   1.85e-03   3.31e-03
   25    0e+00   0.0e+00   24  Mg     2.85e-02   4.98e-02   1.02e-01   1.36e-01   1.71e-01   2.09e-01
   26    0e+00   0.0e+00   25  Mg     7.56e-05   8.97e-05   2.92e-04   5.17e-04   3.51e-04   2.61e-04
   27    0e+00   0.0e+00   26  Mg     1.22e-04   1.96e-04   4.73e-04   7.40e-04   4.68e-04   4.61e-04
   28    0e+00   0.0e+00   27  Al     4.07e-04   8.66e-04   1.50e-03   2.20e-03   1.47e-03   2.01e-03
   29    0e+00   0.0e+00   28  Si     4.63e-02   5.30e-02   1.38e-01   1.15e-01   2.78e-01   1.90e-01
   30    0e+00   0.0e+00   29  Si     2.72e-04   2.57e-04   7.41e-04   5.13e-04   1.17e-03   5.38e-04
   31    0e+00   0.0e+00   30  Si     2.55e-04   1.84e-04   5.05e-04   2.81e-04   5.63e-04   1.78e-04
   32    0e+00   0.0e+00   31  P      1.02e-04   9.72e-05   2.30e-04   1.46e-04   3.10e-04   1.25e-04
   33    0e+00   0.0e+00   32  S      1.98e-02   2.15e-02   6.13e-02   5.27e-02   1.30e-01   9.18e-02
   34    0e+00   0.0e+00   33  S      4.73e-05   5.04e-05   1.29e-04   9.38e-05   2.28e-04   1.12e-04
   35    0e+00   0.0e+00   34  S      2.93e-04   1.94e-04   5.49e-04   2.62e-04   6.10e-04   1.53e-04
   36    0e+00   0.0e+00   36  S      8.74e-09   2.04e-09   9.52e-09   2.72e-09   5.24e-09   4.23e-10
   37    0e+00   0.0e+00   35  Cl     2.26e-05   2.61e-05   4.35e-05   3.39e-05   7.01e-05   2.74e-05
   38    0e+00   0.0e+00   37  Cl     2.44e-06   2.66e-06   7.10e-06   5.91e-06   1.37e-05   8.82e-06
   39    0e+00   0.0e+00   36  Ar     3.88e-03   4.12e-03   1.18e-02   1.05e-02   2.56e-02   1.87e-02
   40    0e+00   0.0e+00   38  Ar     6.26e-05   4.52e-05   1.22e-04   6.15e-05   1.54e-04   7.11e-05
   41    0e+00   0.0e+00   40  Ar     2.24e-09   5.25e-11   2.02e-10   5.16e-11   8.51e-11   8.81e-12
   42    0e+00   0.0e+00   39  K      1.42e-05   2.13e-05   1.95e-05   1.87e-05   2.55e-05   1.44e-05
   43    0e+00   0.0e+00   40  K      6.86e-09   2.58e-09   6.24e-09   3.13e-09   6.41e-09   1.60e-09
   44    0e+00   0.0e+00   41  K      6.88e-07   7.79e-07   1.54e-06   1.47e-06   3.06e-06   2.07e-06
   45    0e+00   0.0e+00   40  Ca     3.74e-03   3.83e-03   1.07e-02   9.82e-03   2.31e-02   1.70e-02
   46    0e+00   0.0e+00   42  Ca     9.50e-06   1.13e-06   2.13e-06   1.34e-06   2.73e-06   1.54e-06
   47    0e+00   0.0e+00   43  Ca     1.81e-06   3.77e-07   1.14e-07   9.92e-08   4.37e-09   1.56e-09
   48    0e+00   0.0e+00   44  Ca     6.94e-05   5.94e-05   3.00e-05   5.73e-05   1.18e-05   1.03e-05
   49    0e+00   0.0e+00   46  Ca     4.62e-13   5.52e-14   3.32e-13   5.74e-14   1.94e-13   3.96e-15
   50    0e+00   0.0e+00   48  Ca     1.29e-18   4.04e-19   4.38e-19   3.70e-16   6.58e-14   2.13e-19
   51    0e+00   0.0e+00   45  Sc     1.28e-06   5.50e-08   7.93e-08   8.40e-08   1.63e-07   1.05e-07
   52    0e+00   0.0e+00   46  Ti     5.97e-06   1.24e-06   1.36e-06   1.09e-06   1.55e-06   1.02e-06
   53    0e+00   0.0e+00   47  Ti     6.11e-06   9.57e-07   3.60e-07   4.52e-07   5.33e-08   4.13e-08
   54    0e+00   0.0e+00   48  Ti     1.99e-04   1.70e-04   1.85e-04   2.11e-04   2.27e-04   1.94e-04
   55    0e+00   0.0e+00   49  Ti     5.87e-06   2.81e-06   5.52e-06   5.40e-06   9.81e-06   8.86e-06
   56    0e+00   0.0e+00   50  Ti     4.83e-12   1.66e-12   4.40e-12   1.02e-12   2.13e-12   1.89e-13
   57    0e+00   0.0e+00   50  V      4.79e-10   1.21e-11   3.07e-11   9.79e-12   2.34e-11   6.60e-12
   58    0e+00   0.0e+00   51  V      1.26e-05   5.32e-06   6.70e-06   9.42e-06   1.30e-05   1.06e-05
   59    0e+00   0.0e+00   50  Cr     1.62e-05   8.49e-06   1.00e-05   1.35e-05   1.90e-05   1.35e-05
   60    0e+00   0.0e+00   52  Cr     1.13e-03   9.22e-04   2.32e-03   1.89e-03   4.00e-03   3.43e-03
   61    0e+00   0.0e+00   53  Cr     7.63e-05   6.52e-05   1.24e-04   1.22e-04   2.22e-04   2.00e-04
   62    0e+00   0.0e+00   54  Cr     1.37e-09   1.23e-10   3.35e-10   1.62e-10   3.75e-10   2.15e-10
   63    0e+00   0.0e+00   55  Mn     3.16e-04   3.02e-04   3.54e-04   5.11e-04   7.06e-04   5.89e-04
   64    0e+00   0.0e+00   54  Fe     1.17e-03   1.06e-03   1.03e-03   1.61e-03   2.18e-03   1.59e-03
   65    0e+00   0.0e+00   56  Fe     9.12e-02   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
   66    0e+00   0.0e+00   57  Fe     3.72e-03   3.43e-03   1.98e-03   2.41e-03   8.51e-04   1.07e-03
   67    0e+00   0.0e+00   58  Fe     4.02e-08   5.51e-11   1.24e-10   8.14e-11   2.00e-10   1.34e-10
   68    0e+00   0.0e+00   59  Co     2.74e-03   2.14e-04   8.04e-05   8.58e-05   4.26e-06   7.58e-06
   69    0e+00   0.0e+00   58  Ni     1.27e-01   3.03e-03   1.31e-03   6.56e-04   3.34e-04   3.24e-04
   70    0e+00   0.0e+00   60  Ni     1.67e-02   2.87e-03   1.47e-03   2.36e-03   1.37e-04   3.06e-04
   71    0e+00   0.0e+00   61  Ni     1.41e-03   1.53e-04   6.55e-05   9.64e-05   2.50e-06   6.29e-06
   72    0e+00   0.0e+00   62  Ni     1.79e-02   8.48e-04   3.01e-04   3.31e-04   3.77e-06   7.66e-06
   73    0e+00   0.0e+00   64  Ni     5.81e-09   2.16e-16   1.40e-18   4.30e-16   2.32e-15   2.12e-15
   74    0e+00   0.0e+00   63  Cu     6.07e-04   2.17e-06   7.73e-07   2.00e-06   5.25e-07   2.21e-06
   75    0e+00   0.0e+00   65  Cu     4.07e-05   1.79e-06   6.52e-07   9.84e-07   1.84e-08   5.93e-08
   76    0e+00   0.0e+00   64  Zn     1.03e-02   2.68e-05   1.34e-05   3.49e-05   1.90e-06   7.30e-06
   77    0e+00   0.0e+00   66  Zn     1.68e-04   2.32e-05   7.78e-06   9.06e-06   4.20e-08   1.45e-07
   78    0e+00   0.0e+00   67  Zn     3.41e-05   5.47e-08   1.30e-08   1.28e-08   1.72e-11   6.29e-11
   79    0e+00   0.0e+00   68  Zn     7.93e-04   1.00e-08   2.19e-09   2.52e-09   4.54e-12   1.69e-11
   80    0e+00   0.0e+00   70  Zn     5.87e-21   1.44e-20   9.50e-24   8.71e-20   5.62e-20   9.80e-20
   81    0e+00   0.0e+00   69  Ga     1.15e-06   1.92e-12   2.89e-13   2.44e-13   1.80e-15   2.75e-15
