# Units are Msun
# M_init	Cr48	Cr49	Cr50	Cr51	Cr52	Cr53	Cr54	Cr55	
8	0	0	0	0	0	0	0	0	
13	5.5e-05	9.4e-09	7.0e-05	1.4e-05	1.7e-04	1.8e-05	5.8e-06	5.0e-17	
15	7.0e-05	1.5e-08	1.6e-04	2.4e-05	1.9e-04	2.1e-05	9.1e-06	3.8e-16	
20	9.8e-05	1.7e-08	1.4e-04	2.4e-05	2.7e-04	2.9e-05	1.7e-05	4.4e-16	
25	1.1e-04	1.6e-08	1.2e-04	2.3e-05	3.3e-04	3.6e-05	2.8e-05	2.4e-16	
30	1.2e-04	2.0e-08	1.9e-04	3.0e-05	4.0e-04	4.2e-05	4.2e-05	1.3e-13	
40	2.2e-04	4.1e-08	2.6e-04	5.3e-05	5.1e-04	5.6e-05	6.6e-05	4.6e-18	
60	2.6e-04	5.1e-08	3.4e-04	6.6e-05	7.6e-04	8.6e-05	1.0e-04	1.7e-17	
80	2.8e-04	5.8e-08	5.1e-04	7.9e-05	1.0e-03	1.1e-04	1.4e-04	4.1e-16	
120	3.5e-04	7.0e-08	7.4e-04	1.0e-04	1.5e-03	1.7e-04	2.0e-04	4.1e-13	
