# Units are Msun
# M_init	K37	K38	K39	K40	K41	K42	
8	0	0	0	0	0	0	
13	8.5e-39	2.5e-14	5.6e-05	2.2e-07	2.6e-06	7.6e-09	
15	1.1e-37	9.5e-17	6.1e-05	5.4e-07	3.4e-06	6.6e-09	
20	1.6e-36	6.7e-15	1.2e-04	1.2e-06	5.3e-06	1.9e-08	
25	6.7e-38	8.5e-15	1.3e-04	2.3e-06	8.0e-06	3.9e-08	
30	5.2e-35	3.3e-14	1.8e-04	4.0e-06	1.1e-05	7.5e-08	
40	4.3e-38	1.2e-13	2.6e-04	6.3e-06	1.7e-05	2.2e-07	
60	4.3e-35	9.7e-14	3.4e-04	9.0e-06	2.5e-05	3.7e-07	
80	9.0e-37	2.4e-13	5.2e-04	1.3e-05	3.4e-05	9.5e-07	
120	8.4e-40	2.5e-13	8.4e-04	2.2e-05	4.9e-05	1.2e-06	
