# Units are Msun
# M_init	Mn50	Mn51	Mn52	Mn53	Mn54	Mn55	Mn56	Mn57	
8	0	0	0	0	0	0	0	0	
13	0.0e+00	5.1e-08	3.7e-04	1.7e-04	1.8e-07	1.2e-04	1.0e-07	1.7e-17	
15	0.0e+00	6.2e-08	5.0e-04	2.1e-04	3.0e-07	1.4e-04	1.3e-07	1.7e-19	
20	0.0e+00	8.4e-08	4.9e-04	2.3e-04	3.2e-07	1.7e-04	5.4e-08	4.9e-25	
25	0.0e+00	1.3e-07	7.4e-04	3.6e-04	7.0e-07	2.0e-04	1.0e-07	3.5e-17	
30	0.0e+00	1.0e-07	5.9e-04	3.1e-04	6.2e-07	2.3e-04	4.5e-08	2.8e-19	
40	0.0e+00	9.1e-08	5.6e-04	2.8e-04	5.7e-07	3.2e-04	5.5e-08	8.8e-26	
60	0.0e+00	1.5e-07	1.1e-03	4.6e-04	1.0e-06	5.3e-04	1.7e-07	1.8e-17	
80	0.0e+00	2.0e-07	1.4e-03	5.8e-04	1.6e-06	7.5e-04	2.8e-07	7.6e-17	
120	0.0e+00	2.1e-07	1.3e-03	6.0e-04	1.5e-06	1.2e-03	2.2e-07	3.1e-17	
