# Units are Msun
# M_init	Zn60	Zn61	Zn62	Zn63	Zn64	Zn65	Zn66	Zn67	Zn68	Zn69	Zn70	Zn71	
8	0	0	0	0	0	0	0	0	0	0	0	0	
13	3.6e-24	1.3e-22	4.9e-04	6.5e-10	1.8e-05	1.3e-06	1.7e-05	1.7e-06	8.2e-06	9.2e-10	4.9e-07	1.0e-18	
15	8.5e-25	9.9e-25	3.5e-04	4.4e-10	2.2e-05	1.8e-06	2.5e-05	2.6e-06	1.4e-05	1.5e-09	1.4e-06	2.7e-18	
20	2.5e-22	3.1e-33	3.1e-04	4.6e-10	3.3e-05	4.5e-06	4.5e-05	9.7e-06	3.6e-05	1.6e-09	7.6e-07	1.1e-20	
25	1.5e-22	1.2e-22	1.3e-04	1.5e-10	6.2e-05	7.9e-06	1.1e-04	1.7e-05	8.4e-05	8.6e-09	3.9e-06	1.6e-17	
30	1.7e-22	2.0e-25	2.6e-04	4.0e-10	8.1e-05	1.5e-05	2.1e-04	5.9e-05	2.4e-04	1.1e-08	5.2e-06	1.4e-20	
40	1.3e-22	1.3e-32	3.2e-04	4.8e-10	1.1e-04	2.1e-05	2.4e-04	6.9e-05	2.5e-04	1.0e-08	3.4e-06	7.4e-22	
60	2.6e-23	2.6e-22	1.5e-09	3.9e-12	1.4e-04	1.9e-05	2.5e-04	5.7e-05	2.2e-04	2.5e-08	6.1e-06	5.0e-20	
80	4.4e-23	4.2e-22	1.8e-09	5.0e-12	2.0e-04	1.9e-05	3.0e-04	5.9e-05	2.5e-04	3.2e-08	9.4e-06	5.4e-17	
120	8.9e-23	7.7e-22	2.0e-09	4.8e-12	2.2e-04	2.2e-05	3.2e-04	6.7e-05	2.5e-04	2.3e-08	5.8e-06	3.3e-19	
