# Iwamoto et al. (1999) SNe Ia yields (SNe II  yields from 10--50 Msun)
# Species SNeII     W7          W70         WDD1        WDD2        WDD3        CDD1        CDD2
12C     7.93E-02	4.83E-02	5.08E-02	5.42E-03	8.99E-03	1.66E-02	9.93E-03	5.08E-03
13C     3.80E-09	1.40E-06	1.56E-09	5.06E-07	3.30E-07	3.17E-07	8.46E-07	4.16E-07
14N     1.56E-03	1.16E-06	3.31E-08	2.84E-04	2.69E-04	1.82E-04	9.06E-05	9.03E-05
15N     1.66E-08	1.32E-09	4.13E-07	9.99E-07	5.32E-07	1.21E-07	2.53E-07	2.47E-07
16O     1.80        1.43E-01	1.33E-01	8.82E-02	6.58E-02	5.58E-02	9.34E-02	5.83E-02
17O     9.88E-08	3.54E-08	3.33E-10	3.77E-06	4.58E-06	3.60E-06	9.55E-07	1.01E-06
18O     4.61E-03	8.25E-10	2.69E-10	6.88E-07	6.35E-07	2.39E-07	2.08E-07	1.92E-07
19F     1.16E-09	5.67E-10	1.37E-10	1.70E-09	4.50E-10	2.30E-10	5.83E-10	4.24E-10
20Ne	2.12E-01	2.02E-03	2.29E-03	1.29E-03	6.22E-04	4.55E-04	1.16E-03	6.05E-04
21Ne	1.08E-03	8.46E-06	2.81E-08	1.16E-05	1.39E-06	1.72E-06	3.63E-06	1.99E-06
22Ne	1.83E-02	2.49E-03	2.15E-08	1.51E-04	4.21E-04	8.25E-04	4.41E-04	2.11E-04
23Na	6.51E-03	6.32E-05	1.41E-05	8.77E-05	2.61E-05	3.01E-05	5.10E-05	3.50E-05
24Mg	8.83E-02	8.50E-03	1.58E-02	7.55E-03	4.47E-03	2.62E-03	7.72E-03	4.20E-03
25Mg	1.44E-02	4.05E-05	1.64E-07	8.23E-05	2.66E-05	2.68E-05	4.85E-05	3.25E-05
26Mg	2.01E-02	3.18E-05	1.87E-07	6.25E-05	2.59E-05	1.41E-05	4.96E-05	2.97E-05
27Al	1.48E-02	9.86E-04	1.13E-04	4.38E-04	2.47E-04	1.41E-04	4.45E-04	2.35E-04
28Si	1.05E-01	1.54E-01	1.42E-01	2.72E-01	2.06E-01	1.58E-01	2.77E-01	1.98E-01
29Si	8.99E-03	9.08E-04	5.79E-05	5.47E-04	3.40E-04	2.13E-04	5.52E-04	3.22E-04
30Si	8.05E-03	1.69E-03	7.12E-05	1.03E-03	6.41E-04	3.88E-04	1.05E-03	6.14E-04
31P     1.21E-03	3.57E-04	9.12E-05	2.38E-04	1.60E-04	1.07E-04	2.40E-04	1.52E-04
32S     3.84E-02	8.46E-02	9.14E-02	1.60E-01	1.22E-01	9.37E-02	1.63E-01	1.17E-01
33S     1.78E-04	4.24E-04	6.07E-05	2.74E-04	1.92E-04	1.34E-04	2.71E-04	1.79E-04
34S     2.62E-03	1.98E-03	1.74E-05	2.76E-03	2.04E-03	1.46E-03	2.77E-03	1.90E-03
36S     1.78E-06	4.18E-07	3.41E-11	2.23E-07	1.31E-07	7.44E-08	2.22E-07	1.25E-07
35Cl	1.01E-04	1.37E-04	1.06E-05	9.28E-05	7.07E-05	5.33E-05	9.03E-05	6.56E-05
37Cl	1.88E-05	3.67E-05	5.56E-06	2.94E-05	2.26E-05	1.71E-05	2.86E-05	2.11E-05
36Ar	6.62E-03	1.47E-02	1.91E-02	3.11E-02	2.41E-02	1.87E-02	3.18E-02	2.34E-02
38Ar	1.37E-03	9.50E-04	6.60E-07	1.23E-03	9.90E-04	7.44E-04	1.20E-03	9.26E-04
40Ar	2.27E-08	1.87E-08	3.42E-12	7.81E-09	5.19E-09	3.56E-09	7.56E-09	4.82E-09
39K     6.23E-05	7.23E-05	1.67E-06	6.76E-05	5.67E-05	4.52E-05	6.39E-05	5.34E-05
41K     5.07E-06	6.11E-06	4.83E-07	5.43E-06	4.52E-06	3.62E-06	5.20E-06	4.25E-06
40Ca	5.77E-03	1.19E-02	1.81E-02	3.10E-02	2.43E-02	1.88E-02	3.18E-02	2.38E-02
42Ca	4.23E-05	2.82E-05	1.06E-08	3.09E-05	2.55E-05	1.93E-05	2.97E-05	2.36E-05
43Ca	1.08E-06	9.64E-08	6.17E-08	6.60E-08	2.22E-07	4.18E-07	5.15E-08	2.96E-07
44Ca	5.53E-05	8.02E-06	1.38E-05	1.44E-05	2.95E-05	4.66E-05	1.37E-05	3.62E-05
46Ca	1.43E-10	4.16E-09	1.01E-09	5.01E-09	4.73E-09	4.47E-09	8.79E-10	1.18E-09
48Ca	5.33E-14	2.60E-09	2.47E-09	1.63E-06	1.64E-06	1.55E-06	3.54E-11	4.93E-10
45Sc	2.29E-07	2.21E-07	3.85E-08	2.49E-07	2.09E-07	1.76E-07	2.47E-07	2.02E-07
46Ti	7.48E-06	1.33E-05	3.49E-07	1.34E-05	1.12E-05	8.58E-06	1.27E-05	1.05E-05
47Ti	2.11E-06	5.10E-07	4.08E-07	5.65E-07	1.56E-06	2.57E-06	4.93E-07	1.95E-06
48Ti	1.16E-04	2.05E-04	3.13E-04	7.10E-04	6.11E-04	5.23E-04	7.32E-04	6.20E-04
49Ti	5.98E-06	1.71E-05	2.94E-06	5.27E-05	4.39E-05	3.59E-05	5.22E-05	4.17E-05
50Ti	3.81E-10	1.07E-04	1.04E-04	3.52E-04	3.51E-04	3.51E-04	2.08E-05	7.28E-05
50V     7.25E-10	1.55E-08	1.22E-08	9.74E-09	9.33E-09	9.07E-09	4.94E-09	1.20E-08
51V     1.00E-05	7.49E-05	4.27E-05	1.33E-04	1.16E-04	1.02E-04	1.11E-04	1.09E-04
50Cr	4.64E-05	2.73E-04	6.65E-05	4.44E-04	3.53E-04	2.84E-04	4.49E-04	3.36E-04
52Cr	1.15E-03	6.36E-03	7.73E-03	1.68E-02	1.37E-02	1.13E-02	1.65E-02	1.40E-02
53Cr	1.19E-04	9.22E-04	5.66E-04	1.66E-03	1.38E-03	1.17E-03	1.59E-03	1.33E-03
54Cr	2.33E-08	9.24E-04	9.04E-04	1.60E-03	1.60E-03	1.60E-03	2.31E-04	8.02E-04
55Mn	3.86E-04	8.87E-03	6.66E-03	8.48E-03	7.05E-03	6.16E-03	8.10E-03	6.77E-03
54Fe	3.62E-03	9.55E-02	7.30E-02	7.08E-02	5.91E-02	5.15E-02	7.20E-02	5.64E-02
56Fe	8.44E-02	6.26E-01	6.80E-01	5.87E-01	7.13E-01	7.95E-01	5.65E-01	7.57E-01
57Fe	2.72E-03	2.45E-02	1.92E-02	1.08E-02	1.67E-02	2.06E-02	1.01E-02	1.80E-02
58Fe	7.22E-09	3.03E-03	2.96E-03	3.23E-03	3.23E-03	3.24E-03	8.63E-04	3.06E-03
59Co	7.27E-05	1.04E-03	9.68E-04	3.95E-04	6.25E-04	7.75E-04	2.91E-04	6.35E-04
58Ni	3.63E-03	1.10E-01	8.34E-02	3.14E-02	4.29E-02	4.97E-02	3.15E-02	4.47E-02
60Ni	1.75E-03	1.24E-02	1.47E-02	5.08E-03	1.15E-02	1.67E-02	2.81E-03	1.21E-02
61Ni	8.35E-05	2.35E-04	2.15E-04	7.00E-05	3.58E-04	5.92E-04	4.00E-05	4.27E-04
62Ni	5.09E-04	3.07E-03	1.85E-03	1.37E-03	3.69E-03	5.46E-03	6.51E-04	4.60E-03
64Ni	3.20E-14	1.70E-05	1.65E-05	2.32E-04	2.31E-04	2.32E-04	2.47E-06	9.29E-06
63Cu	8.37E-07	2.32E-06	3.00E-06	2.77E-06	4.88E-06	5.92E-06	6.14E-07	3.97E-06
65Cu	4.07E-07	6.84E-07	8.33E-07	7.08E-07	2.04E-06	3.38E-06	1.14E-07	2.05E-06
64Zn	1.03E-05	1.06E-05	7.01E-05	3.71E-06	3.10E-05	5.76E-05	1.87E-06	3.96E-05
66Zn	8.61E-06	1.76E-05	6.26E-06	2.16E-05	6.42E-05	1.04E-04	2.84E-06	6.11E-05
