#Z=0.001
#M/Msun    H        He4       Li7       C12       C13       N14       O16       O17       O18        NE20      NE22     NA23      MG24       MG25      MG26      AL27      SI28     Mf
  init   0.749      0.25      1e-8    8.49e-5      -      2.49e-5   5.8e-4    2.02e-7   1.13e-6    1.28e-4   6.77e-6   1.03e-6   4.97e-5   3.52e-6   4.03e-3   1.78e-6   5.47e-5    
  7.50 -7.24e-01  7.23e-01 -3.86e-08 -3.89e-04  3.23e-05  3.07e-03 -2.10e-03  1.89e-05 -6.55e-06   3.90e-05 -3.99e-05  2.79e-05 -2.77e-04  2.48e-04 -1.29e-05  4.69e-05  3.24e-05  1.29
  7.00 -6.73e-01  6.73e-01 -5.49e-08 -3.91e-04  2.44e-05  2.86e-03 -2.47e-03  1.34e-05 -6.43e-06   3.68e-05 -3.81e-05  1.01e-05 -2.77e-04  2.19e-04  1.21e-05  6.49e-05  3.18e-05  1.21
  6.50 -6.06e-01  6.06e-01 -5.02e-08 -3.68e-04  2.14e-05  2.59e-03 -2.41e-03  5.84e-06 -5.99e-06   2.73e-05 -3.55e-05  5.86e-06 -2.58e-04  1.92e-04 -1.30e-05  6.94e-05  3.25e-05  1.13
  6.00 -5.49e-01  5.49e-01 -4.59e-08 -3.39e-04  1.96e-05  2.49e-03 -2.37e-03  3.23e-06 -5.55e-06   2.43e-05 -3.28e-05  4.33e-06 -2.39e-04  1.58e-04 -1.09e-05  8.19e-05  3.25e-05  1.04
  5.50 -4.64e-01  4.64e-01 -4.29e-08 -3.02e-04  1.86e-05  2.39e-03 -2.25e-03  1.59e-06 -5.06e-06   2.18e-05 -2.99e-05  4.27e-06 -2.16e-04  1.27e-04 -7.22e-06  9.03e-05  2.78e-05  0.99
  5.00 -3.58e-01  3.57e-01 -3.87e-08 -2.42e-04  2.25e-05  2.92e-03 -1.97e-03  1.26e-06 -4.54e-06   1.97e-05 -2.68e-05  6.69e-06 -1.90e-04  1.02e-04 -2.66e-06  9.20e-05  1.74e-05  0.95
  4.50 -2.52e-01  2.50e-01 -3.45e-08 -1.02e-04  3.64e-05  3.51e-03 -1.47e-03  1.69e-06 -3.98e-06   1.76e-05 -2.29e-05  1.13e-05 -1.56e-04  9.88e-05  2.10e-07  6.67e-05  5.91e-06  0.92
  4.00 -1.62e-01  1.58e-01 -2.94e-08  8.38e-05  3.86e-05  4.33e-03 -6.97e-04  3.16e-06 -3.39e-06   1.38e-05 -1.85e-05  2.27e-05 -8.74e-05  7.23e-05  5.73e-07  2.62e-05  1.73e-06  0.89
  3.50 -6.94e-02  6.38e-02 -2.37e-08  2.88e-04  7.96e-05  4.79e-03  3.57e-04  4.77e-06 -2.74e-06   1.27e-05 -1.25e-05  3.14e-05 -1.10e-05  1.68e-05  1.88e-06  7.18e-06  1.52e-06  0.87
  3.00 -2.01e-02  1.45e-02 -1.81e-08  2.88e-03  4.19e-04  1.10e-03  1.15e-03  4.98e-06 -1.86e-06   1.87e-05  1.24e-05  3.25e-06 -5.03e-07  9.18e-06  2.90e-06  4.63e-06  1.33e-06  0.83
  2.50 -6.29e-02  3.49e-02 -1.79e-08  2.24e-02  3.75e-07  8.97e-05  4.79e-03  8.63e-06 -6.98e-07   3.99e-05  4.52e-04  7.30e-06 -1.20e-06  1.04e-04  3.95e-05  4.22e-05  1.93e-06  0.71
  2.00 -7.04e-02  4.83e-02 -1.33e-08  1.96e-02  1.80e-06  9.93e-05  1.70e-03  8.53e-06 -5.88e-07   1.79e-06  6.18e-04  8.37e-06  0.00e+00  1.39e-05  1.08e-05  2.56e-06  0.00e+00  0.64
  1.75 -3.65e-02  2.16e-02 -1.12e-08  1.20e-02  1.98e-06  4.44e-05  2.59e-03  6.15e-07 -9.71e-08   6.95e-06  2.03e-04  1.79e-06  0.00e+00  1.17e-05  7.17e-06  3.55e-06  0.00e+00  0.63
  1.50 -3.05e-02  1.97e-02 -9.07e-09  9.66e-03  1.72e-06  2.80e-05  1.01e-03  2.28e-07 -4.92e-08   0.00e+00  1.14e-04  1.08e-06  0.00e+00  1.75e-06  1.38e-06  6.08e-07  0.00e+00  0.60
  1.25 -1.58e-02  1.19e-02 -6.69e-09  3.61e-03  1.27e-06  2.07e-05  2.27e-04  3.01e-07 -3.12e-08   0.00e+00  3.16e-05  5.16e-07  0.00e+00  8.43e-08  1.09e-07  1.56e-07  0.00e+00  0.58
  1.00 -7.81e-03  6.50e-03 -4.36e-09  1.24e-03  7.76e-07  6.91e-06  5.64e-05  1.67e-07 -1.51e-08   0.00e+00  5.93e-06  2.03e-07  0.00e+00 -5.22e-09  4.85e-09  5.21e-08  0.00e+00  0.57
