he 	 2.850e-01 
c 	 1.707e-01 
n 	 6.171e-02 
o 	 5.350e-01 
f 	 2.253e-05 
ne 	 9.753e-02 
na 	 1.857e-03 
mg 	 3.672e-02 
al 	 3.225e-03 
si 	 3.954e-02 
p 	 4.536e-04 
s 	 2.324e-02 
cl 	 1.884e-04 
ar 	 5.162e-03 
k 	 2.079e-04 
ca 	 3.447e-03 
sc 	 2.166e-06 
ti 	 1.618e-04 
v 	 2.101e-05 
cr 	 9.889e-04 
mn 	 7.393e-04 
fe 	 7.079e-02 
co 	 1.868e-04 
ni 	 4.082e-03 
cu 	 4.673e-05 
zn 	 1.161e-04 
ga 	 3.712e-06 
ge 	 1.217e-05 
as 	 6.925e-07 
se 	 6.915e-06 
br 	 1.328e-06 
kr 	 5.312e-06 
rb 	 8.707e-07 
sr 	 2.885e-06 
y 	 5.813e-07 
zr 	 1.466e-06 
nb 	 9.134e-08 
mo 	 7.666e-06 
