# Units are Msun
# M_init	Nb91	Nb92	Nb93	Nb94	Nb95	Nb96	Nb97	
8	0	0	0	0	0	0	0	
13	1.5e-11	1.9e-12	2.1e-08	8.3e-12	2.8e-11	2.2e-12	2.1e-13	
15	2.2e-11	2.8e-12	2.4e-08	4.0e-12	1.5e-10	4.4e-12	2.5e-13	
20	4.9e-11	5.8e-12	3.0e-08	1.3e-11	1.9e-10	8.8e-12	3.9e-13	
25	8.4e-11	1.0e-11	3.6e-08	5.2e-12	6.3e-10	1.7e-11	1.1e-12	
30	1.5e-10	1.9e-11	4.0e-08	3.3e-11	4.3e-10	1.9e-11	1.2e-12	
40	1.7e-10	2.5e-11	5.2e-08	2.4e-10	6.9e-10	1.9e-10	8.1e-12	
60	2.3e-10	2.7e-11	8.4e-08	2.6e-11	7.2e-10	1.4e-10	1.1e-11	
80	3.3e-10	4.0e-11	1.1e-07	4.6e-11	6.7e-10	7.8e-11	1.7e-11	
120	2.0e-10	3.7e-11	1.7e-07	7.5e-11	6.1e-10	3.6e-11	8.2e-12	
