# Units are Msun
# M_init	P29	P30	P31	P32	P33	P34	
8	0	0	0	0	0	0	
13	8.7e-25	4.6e-12	3.4e-04	3.3e-07	2.3e-07	2.1e-21	
15	7.7e-25	1.3e-14	4.7e-04	6.1e-07	2.8e-07	3.0e-23	
20	1.5e-22	9.8e-12	9.0e-04	1.9e-06	7.7e-07	1.4e-20	
25	1.9e-24	1.3e-11	1.2e-03	1.5e-06	7.4e-07	9.6e-21	
30	2.0e-20	2.2e-11	2.0e-03	2.4e-06	1.4e-06	5.3e-20	
40	1.4e-24	4.7e-11	2.4e-03	9.3e-06	3.3e-06	2.3e-20	
60	4.6e-23	4.8e-11	3.2e-03	1.5e-05	5.9e-06	2.6e-20	
80	1.6e-22	6.1e-11	4.8e-03	2.7e-05	1.2e-05	3.1e-21	
120	1.8e-22	8.6e-11	7.4e-03	4.1e-05	1.6e-05	2.4e-20	
