# Units are Msun
# M_init	Ti44	Ti45	Ti46	Ti47	Ti48	Ti49	Ti50	Ti51	
8	0	0	0	0	0	0	0	0	
13	6.5e-06	1.5e-08	7.9e-06	2.9e-06	2.6e-05	2.2e-06	2.2e-06	4.8e-17	
15	8.1e-06	2.8e-08	6.8e-06	3.4e-06	3.0e-05	3.1e-06	3.2e-06	2.0e-16	
20	1.3e-05	3.7e-08	2.3e-05	5.3e-06	3.9e-05	4.8e-06	5.7e-06	1.3e-16	
25	1.1e-05	2.9e-08	2.4e-05	7.3e-06	4.9e-05	6.8e-06	1.0e-05	2.5e-16	
30	9.8e-06	4.1e-08	3.7e-05	1.0e-05	5.8e-05	9.1e-06	1.5e-05	4.3e-14	
40	9.2e-06	6.0e-08	5.2e-05	1.5e-05	7.7e-05	1.4e-05	2.5e-05	2.7e-18	
60	1.1e-05	7.8e-08	6.9e-05	2.2e-05	1.2e-04	2.0e-05	3.8e-05	9.5e-18	
80	1.4e-05	1.3e-07	1.1e-04	3.1e-05	1.6e-04	2.9e-05	5.8e-05	4.0e-16	
120	2.0e-05	2.2e-07	1.9e-04	4.4e-05	2.4e-04	4.5e-05	8.3e-05	1.6e-13	
