# Units are Msun
# M_init	Zr90	Zr91	Zr92	Zr93	Zr94	Zr95	Zr96	Zr97	
8	0	0	0	0	0	0	0	0	
13	1.5e-07	3.3e-08	5.1e-08	8.6e-10	5.2e-08	1.8e-10	3.0e-10	1.0e-12	
15	1.8e-07	4.0e-08	6.2e-08	2.9e-09	6.2e-08	6.5e-10	1.2e-09	6.5e-14	
20	2.5e-07	5.8e-08	8.9e-08	7.4e-09	8.6e-08	2.0e-09	2.8e-09	1.6e-13	
25	3.5e-07	8.5e-08	1.3e-07	1.6e-08	1.2e-07	2.0e-09	4.4e-09	3.0e-13	
30	4.8e-07	1.1e-07	1.7e-07	2.6e-08	1.5e-07	1.2e-09	4.5e-09	7.0e-13	
40	6.8e-07	1.8e-07	2.5e-07	5.2e-08	2.2e-07	2.0e-08	1.9e-08	7.7e-11	
60	9.9e-07	2.6e-07	3.8e-07	7.1e-08	3.4e-07	3.3e-08	4.1e-08	1.2e-10	
80	1.5e-06	3.9e-07	5.8e-07	1.1e-07	5.0e-07	4.9e-08	7.6e-08	1.9e-10	
120	2.4e-06	5.9e-07	8.8e-07	1.5e-07	7.4e-07	4.9e-08	8.3e-08	7.2e-11	
