# Units are Msun
# M_init	Mo92	Mo94	Mo95	Mo96	Mo97	Mo98	
8	0	0	0	0	0	0	
13	7.8e-09	6.2e-09	8.5e-09	1.8e-08	1.8e-08	1.9e-08	
15	9.5e-09	7.6e-09	9.5e-09	2.2e-08	2.7e-08	2.6e-08	
20	1.1e-08	8.7e-09	1.2e-08	2.9e-08	4.6e-08	7.0e-08	
25	1.9e-08	1.5e-08	1.7e-08	4.4e-08	1.1e-07	7.6e-08	
30	1.9e-08	1.5e-08	1.8e-08	5.1e-08	1.5e-07	2.1e-07	
40	2.1e-08	1.7e-08	2.5e-08	6.6e-08	2.0e-07	2.8e-07	
60	3.8e-08	3.0e-08	3.9e-08	9.6e-08	2.7e-07	2.6e-07	
80	5.4e-08	4.5e-08	5.6e-08	1.3e-07	3.4e-07	2.7e-07	
120	8.3e-08	6.4e-08	8.9e-08	2.0e-07	3.3e-07	3.6e-07	
