# Units are Msun
# M_init	K37	K38	K39	K40	K41	K42	
8	0	0	0	0	0	0	
13	1.6e-32	7.3e-15	9.5e-05	1.0e-06	3.2e-06	1.2e-07	
15	1.3e-32	1.9e-15	1.3e-04	1.5e-06	4.0e-06	3.2e-07	
20	1.8e-31	3.9e-19	5.8e-04	3.0e-06	7.3e-06	8.1e-08	
25	3.1e-31	4.7e-14	2.4e-04	4.5e-06	9.4e-06	1.6e-07	
30	1.0e-32	2.5e-16	3.2e-04	6.2e-06	1.4e-05	6.0e-07	
40	1.6e-36	1.1e-20	7.2e-04	7.5e-06	1.9e-05	2.8e-07	
60	1.1e-34	1.4e-13	3.6e-04	1.1e-05	2.6e-05	8.3e-07	
80	2.2e-34	2.2e-13	5.1e-04	1.5e-05	3.3e-05	9.4e-07	
120	5.0e-36	3.4e-13	6.2e-04	1.4e-05	4.2e-05	8.3e-07	
