# Units are Msun
# M_init	Rb79	Rb80	Rb81	Rb82	Rb83	Rb84	Rb85	Rb86	Rb87	Rb88	
8	0	0	0	0	0	0	0	0	0	0	
13	2.8e-19	2.3e-21	9.1e-14	6.6e-14	1.2e-10	1.0e-11	1.6e-07	5.0e-09	1.1e-07	3.6e-16	
15	2.0e-19	1.5e-24	1.3e-13	1.0e-13	2.2e-10	2.0e-11	1.9e-07	9.7e-09	1.6e-07	1.1e-15	
20	1.9e-20	3.2e-37	9.2e-13	4.1e-13	2.6e-10	2.6e-11	2.7e-07	3.4e-08	3.1e-07	5.6e-16	
25	1.6e-18	2.6e-21	5.6e-13	5.4e-13	9.7e-10	9.1e-11	4.8e-07	6.6e-08	6.6e-07	6.0e-15	
30	8.9e-19	4.3e-24	7.0e-13	4.3e-13	1.2e-09	1.3e-10	8.8e-07	2.9e-07	1.8e-06	7.7e-16	
40	2.0e-20	1.2e-42	1.2e-12	7.5e-13	6.2e-10	6.1e-11	9.9e-07	3.2e-07	1.8e-06	3.5e-15	
60	8.1e-19	1.0e-21	5.1e-13	8.4e-13	1.0e-09	1.0e-10	1.2e-06	2.8e-07	1.6e-06	4.6e-15	
80	1.3e-18	1.6e-21	6.2e-13	1.0e-12	1.4e-09	1.4e-10	1.5e-06	2.6e-07	1.9e-06	1.2e-14	
120	1.3e-18	1.2e-21	6.4e-13	1.1e-12	1.4e-09	1.7e-10	2.1e-06	3.1e-07	2.2e-06	2.6e-15	
