# Units are Msun
# M_init	Sr84	Sr85	Sr86	Sr87	Sr88	Sr89	Sr90	Sr91	
8	0	0	0	0	0	0	0	0	
13	5.1e-09	2.0e-10	1.2e-07	7.2e-08	6.7e-07	8.7e-09	3.7e-09	3.0e-10	
15	6.5e-09	3.0e-10	1.7e-07	1.0e-07	9.4e-07	2.0e-08	1.9e-08	1.8e-09	
20	2.6e-08	2.5e-10	2.7e-07	2.0e-07	1.8e-06	7.8e-08	2.3e-08	1.0e-10	
25	2.0e-08	1.1e-09	6.3e-07	4.1e-07	3.4e-06	5.9e-08	2.0e-08	3.0e-11	
30	1.6e-08	4.9e-10	1.0e-06	8.1e-07	7.1e-06	3.0e-07	1.1e-07	1.0e-10	
40	2.8e-08	3.0e-10	1.2e-06	9.8e-07	8.1e-06	4.8e-07	1.4e-07	6.2e-10	
60	1.9e-08	8.2e-10	1.3e-06	9.7e-07	8.6e-06	4.0e-07	1.1e-07	1.2e-09	
80	2.7e-08	1.1e-09	1.8e-06	1.2e-06	1.0e-05	3.6e-07	1.2e-07	7.1e-10	
120	3.6e-08	1.0e-09	1.8e-06	1.3e-06	1.2e-05	4.1e-07	1.3e-07	7.3e-10	
