# Units are Msun
# M_init	zn64	zn66	zn67	zn68	zn70	
8	0	0	0	0	0	
13	3.3161e-05	1.1113e-04	9.2015e-06	5.5688e-05	1.6602e-05	
15	4.1563e-05	2.0266e-04	2.4137e-05	1.9140e-04	5.0197e-05	
20	6.5882e-05	3.1903e-04	2.1850e-05	1.3541e-04	4.2495e-05	
25	1.0756e-04	3.2520e-04	4.4913e-05	2.6904e-04	1.0452e-05	
30	1.3212e-04	4.8515e-04	1.1119e-04	5.6248e-04	1.4278e-05	
40	1.5939e-04	7.1245e-04	1.5735e-04	8.2884e-04	3.4138e-05	
60	2.6446e-04	1.2090e-03	2.5025e-04	1.4253e-03	8.2889e-05	
80	4.5281e-04	1.6901e-03	2.9778e-04	2.0154e-03	1.4018e-04	
120	5.2411e-04	1.9587e-03	2.6994e-04	2.0234e-03	4.3933e-04	
