# Units are Msun
# M_init	ba34	ba35	ba36	ba37	ba38	
8	0	0	0	0	0	
13	2.8744e-09	7.8687e-09	9.4572e-09	1.3613e-08	8.7537e-08	
15	3.1410e-09	8.6189e-09	1.0350e-08	1.4906e-08	9.5848e-08	
20	4.6385e-09	1.2104e-08	1.4811e-08	2.1057e-08	1.3554e-07	
25	6.1378e-09	1.5440e-08	1.9154e-08	2.6976e-08	1.7381e-07	
30	7.5034e-09	1.8330e-08	2.3025e-08	3.2137e-08	2.0717e-07	
40	1.0858e-08	2.5525e-08	3.2582e-08	4.4970e-08	2.9015e-07	
60	1.8537e-08	3.8935e-08	5.2206e-08	6.9700e-08	4.5082e-07	
80	2.6567e-08	5.2564e-08	7.4301e-08	9.5393e-08	6.1424e-07	
120	4.3959e-08	8.9244e-08	1.2363e-07	1.6077e-07	1.0373e-06	
