14C 3.84e-12 2.80e-13 4.47e-12 1.73e-13 2.36e-11 3.61e-11
22Na 7.85e-09 5.73e-09 8.22e-09 5.68e-09 1.83e-08 6.08e-09
26Al 9.78e-08 1.84e-06 9.91e-08 1.84e-06 1.43e-07 7.96e-07
32Si 1.93e-12 4.35e-10 2.03e-12 7.81e-11 2.34e-12 3.41e-09
32P 1.52e-08 7.62e-08 1.55e-08 7.39e-08 1.65e-08 1.07e-06
33P 1.22e-08 6.01e-08 1.25e-08 5.81e-08 1.32e-08 8.09e-07
35S 3.80e-09 5.22e-08 3.78e-09 4.92e-08 3.93e-09 1.55e-06
36Cl 6.30e-08 2.80e-07 6.30e-08 2.71e-07 6.46e-08 1.91e-06
37Ar 3.56e-06 1.41e-05 3.53e-06 1.39e-05 3.70e-06 2.59e-05
39Ar 1.60e-10 2.51e-09 1.57e-10 2.40e-09 2.07e-10 4.74e-08
40K 1.23e-09 1.80e-08 1.20e-09 1.70e-08 1.52e-09 1.45e-07
41Ca 1.14e-06 2.59e-06 1.15e-06 2.54e-06 1.74e-06 4.55e-06
44Ti 8.70e-04 1.81e-05 8.71e-04 1.81e-05 9.07e-04 1.15e-05
48V 4.23e-07 3.68e-08 4.30e-07 3.63e-08 7.18e-07 6.74e-08
49V 1.98e-07 1.37e-07 2.00e-07 1.35e-07 3.03e-07 5.57e-07
48Cr 1.88e-03 3.73e-04 1.88e-03 3.74e-04 1.99e-03 2.62e-04
49Cr 2.02e-05 1.95e-05 2.05e-05 1.93e-05 2.77e-05 2.84e-05
51Cr 2.06e-06 6.40e-07 2.05e-06 6.28e-07 2.05e-06 8.69e-06
51Mn 2.65e-04 4.81e-05 2.64e-04 4.77e-05 2.48e-04 9.26e-05
52Mn 3.70e-06 2.42e-06 3.73e-06 2.42e-06 4.78e-06 3.45e-06
53Mn 2.77e-06 1.54e-05 2.81e-06 1.52e-05 3.99e-06 1.06e-04
54Mn 2.38e-10 1.56e-08 3.08e-10 1.72e-08 3.64e-09 5.43e-07
52Fe 3.98e-03 8.09e-03 3.98e-03 8.11e-03 4.08e-03 6.14e-03
53Fe 5.77e-05 5.54e-04 5.83e-05 5.50e-04 8.01e-05 8.92e-04
55Fe 3.69e-07 1.69e-05 3.88e-07 1.66e-05 1.24e-06 3.32e-04
59Fe 2.72e-11 1.07e-10 2.05e-10 1.07e-09 8.18e-10 2.42e-08
60Fe 1.38e-11 1.92e-09 9.32e-11 1.18e-08 4.44e-10 1.89e-06
55Co 3.68e-04 2.87e-03 3.69e-04 2.84e-03 3.82e-04 6.16e-03
56Co 1.01e-06 1.00e-05 1.02e-06 9.96e-06 1.47e-06 2.78e-05
57Co 5.21e-07 2.67e-06 5.43e-07 2.62e-06 1.39e-06 3.86e-05
58Co 1.53e-10 4.51e-09 1.02e-09 6.04e-09 3.38e-08 1.36e-07
60Co 1.28e-11 1.21e-09 1.05e-10 1.17e-08 1.56e-09 5.26e-07
56Ni 2.60e-02 4.93e-01 2.60e-02 4.93e-01 2.65e-02 4.28e-01
57Ni 2.40e-03 8.62e-03 2.40e-03 8.57e-03 2.42e-03 1.45e-02
59Ni 7.59e-05 3.31e-05 7.56e-05 3.29e-05 6.49e-05 6.60e-05
63Ni 5.55e-12 5.83e-10 4.89e-11 5.31e-09 6.79e-10 6.46e-07
62Zn 1.65e-04 1.19e-03 1.65e-04 1.17e-03 1.63e-04 3.45e-03
65Zn 2.41e-07 1.03e-08 2.43e-07 4.42e-08 3.06e-07 1.62e-07
65Ge 4.13e-06 8.10e-07 4.13e-06 8.08e-07 3.88e-06 7.19e-07
